method_id,search_nfe,runs,median_best_cost,q25_best_cost,q75_best_cost
A3-only,142200,30,42520.7619018416,42501.11088511942,42573.49023471139
A3-only,142800,30,42518.56004772239,42501.11088511942,42564.53081923185
A3-only,143400,30,42517.285544698985,42498.865419058675,42560.13618141283
A3-only,144000,30,42517.266188934,42496.44109912282,42558.41828416733
A3-only,144600,30,42517.07432704173,42495.503772665375,42550.58016565112
A3-only,145200,30,42517.07432704173,42492.16667185097,42550.46107762694
A3-only,145800,30,42511.62618833898,42490.264532442656,42550.136227713905
A3-only,146400,30,42506.75982541182,42490.264532442656,42550.136227713905
A3-only,147000,30,42503.53656509219,42488.53328472319,42549.45836791572
A3-only,147600,30,42501.709406421054,42486.6922313495,42549.212591915915
A3-only,148200,30,42500.98926585752,42486.3275371167,42544.866400574356
A3-only,148800,30,42497.55212282292,42486.3275371167,42541.06782118296
A3-only,149400,30,42497.55212282292,42486.3275371167,42540.97774494729
A3-only,150000,30,42497.05181009181,42483.268284316415,42540.97774494729
A3-only,150600,30,42496.08811853806,42483.268284316415,42540.97774494729
A3-only,151200,30,42493.12163852495,42482.71671469629,42540.0830759891
A3-only,151800,30,42493.12163852495,42482.71671469629,42539.45139123236
A3-only,152400,30,42493.12163852495,42480.429081593276,42536.1908615546
A3-only,153000,30,42492.68342340047,42473.42688591502,42536.1908615546
A3-only,153600,30,42491.35741166899,42473.42688591502,42535.79979152237
A3-only,154200,30,42490.37463103366,42471.6235396547,42532.66422363641
A3-only,154800,30,42489.53764356081,42468.52763762223,42532.16113131087
A3-only,155400,30,42489.216187080136,42468.52763762223,42527.10296513572
A3-only,156000,30,42489.07545633938,42465.729051509305,42522.320021595195
A3-only,156600,30,42485.35203015084,42465.289549981695,42522.320021595195
A3-only,157200,30,42484.544130960974,42464.84820116448,42521.35995179846
A3-only,157800,30,42483.54342844701,42464.80050245686,42521.35995179846
A3-only,158400,30,42483.43671677419,42463.60387647356,42520.79785129873
A3-only,159000,30,42482.3680239111,42463.60387647356,42519.44210357489
A3-only,159600,30,42482.01224606413,42461.74558265999,42519.44210357489
A3-only,160200,30,42479.38076704434,42461.56938170681,42519.23512376416
A3-only,160800,30,42479.11557641921,42461.56938170681,42516.49097813949
A3-only,161400,30,42479.11557641921,42461.56938170681,42516.129004885086
A3-only,162000,30,42477.38973288292,42456.87431733328,42514.529284238146
A3-only,162600,30,42474.76968976657,42456.87431733328,42514.529284238146
A3-only,163200,30,42473.81688823653,42456.87431733328,42514.529284238146
A3-only,163800,30,42473.18835645299,42456.717584662496,42514.0700628866
A3-only,164400,30,42471.23218848727,42456.36697220662,42514.05666177573
A3-only,165000,30,42470.37383042462,42454.98670280635,42514.05666177573
A3-only,165600,30,42469.021735204224,42454.155277353,42513.7737425776
A3-only,166200,30,42468.80343282791,42451.610826800395,42513.7737425776
A3-only,166800,30,42468.80343282791,42451.50315771583,42512.03129645968
A3-only,167400,30,42468.54119838652,42449.01791357852,42510.90991064056
A3-only,168000,30,42468.54119838652,42448.635489109896,42510.90991064056
A3-only,168600,30,42468.15739695773,42448.635489109896,42508.184122552186
A3-only,169200,30,42466.31097318992,42448.40292525848,42507.272044733654
A3-only,169800,30,42465.994929144465,42447.511798381245,42506.77961458705
A3-only,170400,30,42464.26607183945,42447.511798381245,42504.38524761202
A3-only,171000,30,42463.25847722682,42444.11648608456,42504.38524761202
A3-only,171600,30,42460.97895891634,42444.11648608456,42502.246379277174
