seed,checkpoint,action,repeat,checkpoint_nfe,start_iteration,end_iteration,start_nfe,end_nfe,before_cost,after_cost,before_cv,after_cv,feasible_after,cost_reward,gap_reward
310026,60pct,A3,1,180600,300,320,180600,192600,42391.980984099944,42390.07105558527,0.0,0.0,True,1.9099285146730836,4.50915299156948e-05
310026,60pct,A3,2,180600,300,320,180600,192600,42391.980984099944,42390.4317752403,0.0,0.0,True,1.5492088596438407,3.6575294365007584e-05
310026,60pct,A3,3,180600,300,320,180600,192600,42391.980984099944,42389.818903969666,0.0,0.0,True,2.1620801302779,5.104458105398919e-05
310026,60pct,A4,1,180600,300,320,180600,192600,42391.980984099944,42388.778656579,0.0,0.0,True,3.202327520943072,7.560379673957258e-05
310026,60pct,A4,2,180600,300,320,180600,192600,42391.980984099944,42388.32593150398,0.0,0.0,True,3.655052595961024,8.629218958094097e-05
310026,60pct,A4,3,180600,300,320,180600,192600,42391.980984099944,42387.56432449456,0.0,0.0,True,4.416659605383757,0.00010427298047733017
310026,80pct,A1,1,240600,400,420,240600,252600,42380.75049501406,42376.65870075698,0.0,0.0,True,4.091794257074071,9.66032297723484e-05
310026,80pct,A1,2,240600,400,420,240600,252600,42380.75049501406,42376.65870075698,0.0,0.0,True,4.091794257074071,9.66032297723484e-05
310026,80pct,A1,3,240600,400,420,240600,252600,42380.75049501406,42376.65870075698,0.0,0.0,True,4.091794257074071,9.66032297723484e-05
310026,80pct,A2,1,240600,400,420,240600,252600,42380.75049501406,42376.83584074949,0.0,0.0,True,3.914654264568526,9.242112912828481e-05
310026,80pct,A2,2,240600,400,420,240600,252600,42380.75049501406,42375.409614130476,0.0,0.0,True,5.3408808835811215,0.00012609293399621447
310026,80pct,A2,3,240600,400,420,240600,252600,42380.75049501406,42375.68898618367,0.0,0.0,True,5.061508830389357,0.00011949723515339061
310026,80pct,A3,1,240600,400,420,240600,252600,42380.75049501406,42380.388391221844,0.0,0.0,True,0.3621037922130199,8.548913665470254e-06
310026,80pct,A3,2,240600,400,420,240600,252600,42380.75049501406,42378.684756265124,0.0,0.0,True,2.0657387489336543,4.877005598897806e-05
310026,80pct,A3,3,240600,400,420,240600,252600,42380.75049501406,42380.28127592274,0.0,0.0,True,0.4692190913192462,1.10778003106878e-05
310026,80pct,A4,1,240600,400,420,240600,252600,42380.75049501406,42375.82245705796,0.0,0.0,True,4.928037956095068,0.00011634611935252252
310026,80pct,A4,2,240600,400,420,240600,252600,42380.75049501406,42377.347476159106,0.0,0.0,True,3.4030188549513696,8.0341921345668e-05
